"company_name","company_name_clean","year","country","country_code","country_code_lower","flag_url"
"2Y CO LTD","2Y CO LTD",2025,"SOUTH KOREA","KR","kr","https://flagcdn.com/w40/kr.png"
"3H MEDI SOLUTION INC","3H MEDI SOLUTION INC",2025,"JAPAN","JP","jp","https://flagcdn.com/w40/jp.png"
"3M HEALTHCARE JAPAN GK","3M HEALTHCARE JAPAN GK",2024,"JAPAN","JP","jp","https://flagcdn.com/w40/jp.png"
"3XPER INNOVENTURE LTD","3XPER INNOVENTURE LTD",2024,"INDIA","IN","in","https://flagcdn.com/w40/in.png"
"3XPER INNOVENTURE LTD","3XPER INNOVENTURE LTD",2026,"INDIA","IN","in","https://flagcdn.com/w40/in.png"
"4DIN LTD","4DIN LTD",2025,"SOUTH KOREA","KR","kr","https://flagcdn.com/w40/kr.png"
"A&C PHARMASPECIALITIES LLP","A&C PHARMASPECIALITIES LLP",2024,"INDIA","IN","in","https://flagcdn.com/w40/in.png"
"AARTI PHARMALABS LTD","AARTI PHARMALABS LTD",2024,"INDIA","IN","in","https://flagcdn.com/w40/in.png"
"AARTI PHARMALABS LTD","AARTI PHARMALABS LTD",2025,"INDIA","IN","in","https://flagcdn.com/w40/in.png"
"AARTI PHARMALABS LTD","AARTI PHARMALABS LTD",2026,"INDIA","IN","in","https://flagcdn.com/w40/in.png"
"AASTRID LIFE SCIENCES PVT LTD","AASTRID LIFE SCIENCES PVT LTD",2024,"INDIA","IN","in","https://flagcdn.com/w40/in.png"
"AASTRID LIFE SCIENCES PVT LTD","AASTRID LIFE SCIENCES PVT LTD",2025,"INDIA","IN","in","https://flagcdn.com/w40/in.png"
"ABLE MEDICAL","ABLE MEDICAL",2025,"GERMANY","DE","de","https://flagcdn.com/w40/de.png"
"ADAARSH PHARMACON","ADAARSH PHARMACON",2024,"INDIA","IN","in","https://flagcdn.com/w40/in.png"
"ADHEXPHARMA","ADHEXPHARMA",2025,"SPAIN","ES","es","https://flagcdn.com/w40/es.png"
"AETHER INDUSTRIES LTD","AETHER INDUSTRIES LTD",2024,"INDIA","IN","in","https://flagcdn.com/w40/in.png"
"AETHER INDUSTRIES LTD","AETHER INDUSTRIES LTD",2025,"INDIA","IN","in","https://flagcdn.com/w40/in.png"
"AGC INC","AGC INC",2024,"JAPAN","JP","jp","https://flagcdn.com/w40/jp.png"
"AGC INC","AGC INC",2025,"JAPAN","JP","jp","https://flagcdn.com/w40/jp.png"
"AGC INC","AGC INC",2026,"JAPAN","JP","jp","https://flagcdn.com/w40/jp.png"
"AGILENT TECHNOLOGIES INC","AGILENT TECHNOLOGIES INC",2024,"USA","US","us","https://flagcdn.com/w40/us.png"
"AGNO PHARMA","AGNO PHARMA",2025,"USA","US","us","https://flagcdn.com/w40/us.png"
"AGNO PHARMA","AGNO PHARMA",2026,"USA","US","us","https://flagcdn.com/w40/us.png"
"AI CORP","AI CORP",2025,"JAPAN","JP","jp","https://flagcdn.com/w40/jp.png"
"AIFCHEM AN XTALPI CO","AIFCHEM AN XTALPI CO",2026,"CHINA","CN","cn","https://flagcdn.com/w40/cn.png"
