company_name,show_name,booth_no
Alembic Pharmaceuticals Limited,Ingredients,3D-35
Alivus Lifesciences Limited,Outsourcing,1B-34
ALKALI METALS LTD,Ingredients,1G-34
Alkem Activa,Ingredients,2C-30
Almac,Outsourcing,1E-10
Almelo Private Limited,Ingredients,2A-45
"Alps Pharmaceutical Ind. Co., Ltd.",Ingredients,2H-25
Amar Impex,Ingredients,2C-34
"Amatek Chemical Co., Ltd.",Ingredients,3C-46
Ami Lifesciences Pvt Ltd,Ingredients,2E-04
AMSA,Ingredients,IT-16
"Anhui Chuangyu New Material Technology.,Ltd",Ingredients,1H-41
"Anhui Guangxin Agrochemical Co., Ltd.",Ingredients,3B-30
"Anhui Heryi Pharmaceutical Co.,Ltd",Ingredients,3C-36
"Anhui Royal Chemical Co., Ltd.",Ingredients,3A-29
Anshul Specialty Molecules Pvt Ltd,Outsourcing,1A-06
ANUH PHARMA LTD.,Ingredients,2F-45
ANUPAM RASAYAN INDIA LIMTED,Ingredients,2H-04
"Anxo Pharmaceutical Co., Ltd.",Ingredients,1E-36
"Apeloa Pharmaceutical Co.,Ltd",Ingredients,2J-08
"API Co.,Ltd.",Ingredients,3B-04
"AR BROWN Co., Ltd.",Ingredients,3F-42
ARAGEN LIFE SCIENCES,Ingredients,2C-26
Aral Research Private Limited,Outsourcing,3H-24
Ardena Holding NV,Outsourcing,1A-21
Arysta Health and Nutrition Science Corporation,Ingredients,1G-32
"Asahi Chemical Co.,Ltd.",Ingredients,2H-06
ASAHI KASEI CORPORATION,Ingredients,1H-34
"ASAHI TECHNO RESEARCH Co., LTD",Outsourcing,1B-47
"Asambly Chemicals Co., Ltd.",Ingredients,1G-46
Ascensus Specialties,Ingredients,2E-31
ASCHIMFARMA,Ingredients,IT-01
Asimov,Bio Pharma,3G-03
AstaTech (Chengdu) BioPharmaceutical Corp.,Ingredients,3C-28
"Asymchem Laboratories (Tianjin) Co., Ltd.",Outsourcing,1C-20
"ATTO CO., LTD.",Ingredients,2E-42
Aurigene Pharmaceutical Services Ltd.,Outsourcing,1D-22
"Aurisco Pharmaceutical Co., Ltd",Ingredients,2C-21
Aurobindo Pharma Japan K.K.,Ingredients,2B-04
"Autran Japan Co.,Ltd.",Ingredients,2B-42
"Avery Chemical (Nantong) Co., Ltd.",Ingredients,2K-38
"Baishixing Science and Technology Industry Co.,ltd",Bio Pharma,3F-24
"BBchem Co., Ltd.",Outsourcing,1D-31
BCN PEPTIDES,Ingredients,2D-33
BDR Pharmaceuticals Internationals Pvt. Ltd.,Ingredients,3C-42
"BEIJING HUIKANG BOYUAN CHEMICAL TECH CO., LTD.",Ingredients,3C-20
"Beijing Lianben Pharm-chemicals Tech. Co.,Ltd.",Ingredients,2J-21
"Beijing Odyssey Chemicals Co.,Ltd.",Outsourcing,1B-03
"Beijing Tide Pharmaceutical Co., Ltd.",Ingredients,3H-05
"Benepure Pharmaceutical Co., Ltd.",Ingredients,1B-04
Bio-Rad Laboratories,Bio Pharma,3F-21
BioBridge K.K.,Ingredients,3A-02
Biocon,Bio Pharma,3G-22
BIOMED INGREDIENTS PVT LTD,Ingredients,2C-22
bioMérieux Japan Ltd.,Bio Pharma,3F-30
"BIZEN CHEMICAL CO., LTD.",Ingredients,3H-08
Bloomage Biotechnology Corporation Limited,Ingredients,2E-36
Bluejet Healthcare,Outsourcing,1A-31
Bora Pharmaceuticals,Outsourcing,1D-47
"Brother Enterprises Holding Co., Ltd.",Ingredients,1H-46
BSP Pharmaceuticals spa,Outsourcing,1E-47
CADILA PHARMACEUTICALS LIMITED,Ingredients,2C-33
Cambrex,Ingredients,2B-34
"Capot Chemical Co.,Ltd.",Ingredients,2E-46
Carbogen Amcis,Outsourcing,1C-38
"Careplusone Co.,Ltd.",Ingredients,1H-10
CATO Research Chemicals Inc.,Ingredients,2C-45
"CBC CO., Ltd.",Ingredients,2K-04
CCCMHPIE,Ingredients,1F-47
"Changzhou Chongkai Chemical Co., Ltd.",Ingredients,3C-33
"Changzhou Koye Chemical Co.,Ltd",Ingredients,1J-43
"Changzhou Liren Medical Technology Co., Ltd.",Ingredients,3B-27
"Changzhou Sunlight Pharmaceutical Co., Ltd.",Ingredients,3A-17
"Changzhou United Chemical Co., Ltd.",Ingredients,3C-31
"Changzhou Yinsheng Pharmaceutical Co.,Ltd.",Ingredients,2A-02
ChemCon,Bio Pharma,3F-22
CHEMELECTIVA srl,Ingredients,IT-07
CHEMI SPA,Ingredients,IT-03
"Chemicals Evaluation and Research Institute, Japan",Outsourcing,1A-44
Chemische Fabrik Berg GmbH,Ingredients,2A-06
CHEMPLAST SANMAR LTD,Outsourcing,1D-06
CHEMPRO PHARMA,Outsourcing,1D-08
"Chemtour Biotech (Suzhou) Co.,Ltd.",Ingredients,1H-42
"Chemvon Biotechnology Co., Ltd.",Ingredients,2C-32
"Chemyouth Life Science (Suzhou)Co.,Ltd",Ingredients,1F-48
"Chengdu Aupone Pharmaceutical Co.,Ltd",Ingredients,1E-46
CHENGDU BRILLIANT PHARMACEUTICAL GROUP,Ingredients,1G-01
"Chengdu Pukang Weixin Biotechnology Co., Ltd.",Ingredients,3B-28
Chengdu Shengnuo Biopharm Co.Ltd,Ingredients,1G-06
"Chengdu Tachem Co., LTD",Bio Pharma,3G-09
"Chengdu ZY Biochemical Technology Co.,Ltd.",Bio Pharma,3F-08
Chieron Active Ingredients Pvt. Ltd.,Ingredients,3D-21
China Zhuhai Jinwan Biopharma,Ingredients,3B-32
CHIROGATE INTERNATIONAL INC.,Ingredients,1H-07
"Chiwa Co.,Ltd.",Ingredients,3E-46
"Chongqing Ensky Pharmaceutial Co.,Ltd.",Ingredients,1B-06
"Chongqing Shenghuaxi Pharmaceutical Co., Ltd.",Ingredients,3B-20
"Chongqing Southwest No.2 Pharmaceutical Factory Co., Ltd.",Ingredients,3C-34
"CHORI CO., LTD",Ingredients,1F-32
"ChromaJean Co., Ltd.",Bio Pharma,3F-03
CHUKAN BUTSU LTD.,Ingredients,3A-10
CM Plus Corporation,Bio Pharma,3E-04
Cohance Lifesciences Limited,Outsourcing,1A-27
CONCORD BIOTECH LIMITED,Outsourcing,1D-36
COSTECH Pharma Inc.,Ingredients,2F-47
CPA (Chemical Pharmaceutical Association),Ingredients,IT-01
Croda Japan K.K.,Bio Pharma,3H-29
"CSIM CO., LTD.",Outsourcing,1C-33
"CSPC PHARMACEUTICAL GROUP CO.,LTD.",Ingredients,2D-38
CURAPATH,Bio Pharma,3G-11
Curia,Ingredients,2C-10
Cyfuse Biomedical K.K.,Bio Pharma,3G-01
Daido Chemical Corporation,Ingredients,1H-38
"Daito Pharmaceutical Co., Ltd.",Ingredients,2H-10
DalChem,Ingredients,3A-10
"Department of Industrial Technology, MOEA, Taiwan",Ingredients,3H-32
"Depew Fine Chemical Co., Ltd.",Outsourcing,1G-10
DFE Pharma KK,Ingredients,1H-32
"DIJIA PHARMACEUTICAL GROUP CO., LTD",Ingredients,3C-23
DIPHARMA FRANCIS,Ingredients,IT-06
Dishman Carbogen Amcis,Outsourcing,1C-38
DKSH Japan K.K.,Ingredients,2G-04
Dr. Reddy's Laboratories Ltd.,Outsourcing,1D-22
Duoning Japan,Bio Pharma,3E-09
East Rock Union Limited,Ingredients,1H-48
"EirGenix, Inc.",Ingredients,1E-36
EMBALL`ISO Japan K.K.,Bio Pharma,3F-04
"Embassy of Italy, Tokyo - Trade Promotion Section",Ingredients,IT-01
"EOS MED CHEM CO., LTD",Ingredients,1J-45
Eqova Medicare,Ingredients,3B-41
"Erabu Japan Co.,Ltd",Bio Pharma,3H-12
ERREGIERRE SPA,Ingredients,IT-08
"ESTCHEM CO., LTD.",Ingredients,3A-01
ESTEVE CDMO,Outsourcing,1D-37
ETHYPHARM,Outsourcing,1B-52
EURO API Japan G.K.,Outsourcing,1B-22
Evaluate Japan K.K.,Bio Pharma,3H-11
EXTROVIS AG,Bio Pharma,3H-28
Fareva,Outsourcing,1A-22
"FarFavour Japan Co.,Ltd.",Ingredients,2D-41
FARMABIOS,Ingredients,IT-12
FARMAFLOR GROUP,Ingredients,IT-13
