booth_number,company_name,show_type,product_name,company_url,country,country_code,country_code_lower,flag_url
2C-05,Aarti Pharmalabs Limited,Ingredients,Generic API Product List,detail.php?exid=CF23193719&sidSuffix=s20260203221243470&previous=,NA,IN,in,NA
2C-05,Aarti Pharmalabs Limited,Ingredients,API,detail.php?exid=CF23193719&sidSuffix=s20260203221243470&previous=,NA,IN,in,NA
3A-24,Acebright Group,Ingredients,not provided,detail.php?exid=CF24155340&sidSuffix=s20260203221243470&previous=,NA,CN,cn,NA
2A-21,ACUTAAS CHEMICALS LIMITED,Ingredients,not provided,detail.php?exid=CF23151494&sidSuffix=s20260203221243470&previous=,NA,IN,in,NA
2F-33,AETHER INDUSTRIES,Ingredients,not provided,detail.php?exid=C14143278&sidSuffix=s20260203221243470&previous=,NA,IN,in,NA
1D-38,"AGC, Inc.",Outsourcing,not provided,detail.php?exid=C17155890&sidSuffix=s20260203221243470&previous=,JAPAN,JP,jp,https://flagcdn.com/w40/jp.png
1D-38,"AGC, Inc.",Outsourcing,not provided,detail.php?exid=C17155890&sidSuffix=s20260203221243470&previous=,JAPAN,JP,jp,https://flagcdn.com/w40/jp.png
1D-38,"AGC, Inc.",Outsourcing,not provided,detail.php?exid=C17155890&sidSuffix=s20260203221243470&previous=,JAPAN,JP,jp,https://flagcdn.com/w40/jp.png
1D-25,Agno Pharma,Outsourcing,?-bromopropiophenone,detail.php?exid=CF25192656&sidSuffix=s20260203221243470&previous=,USA,US,us,https://flagcdn.com/w40/us.png
1D-25,Agno Pharma,Outsourcing,?-bromopropiophenone,detail.php?exid=CF25192656&sidSuffix=s20260203221243470&previous=,USA,US,us,https://flagcdn.com/w40/us.png
1D-25,Agno Pharma,Outsourcing,?-diphenyl-benzenebutanamide,detail.php?exid=CF25192656&sidSuffix=s20260203221243470&previous=,USA,US,us,https://flagcdn.com/w40/us.png
1D-25,Agno Pharma,Outsourcing,?-diphenyl-benzenebutanamide,detail.php?exid=CF25192656&sidSuffix=s20260203221243470&previous=,USA,US,us,https://flagcdn.com/w40/us.png
1D-25,Agno Pharma,Outsourcing,(-) taddol,detail.php?exid=CF25192656&sidSuffix=s20260203221243470&previous=,USA,US,us,https://flagcdn.com/w40/us.png
1D-25,Agno Pharma,Outsourcing,(-) taddol,detail.php?exid=CF25192656&sidSuffix=s20260203221243470&previous=,USA,US,us,https://flagcdn.com/w40/us.png
1D-25,Agno Pharma,Outsourcing,(+)-menthadienol,detail.php?exid=CF25192656&sidSuffix=s20260203221243470&previous=,USA,US,us,https://flagcdn.com/w40/us.png
1D-25,Agno Pharma,Outsourcing,(+)-menthadienol,detail.php?exid=CF25192656&sidSuffix=s20260203221243470&previous=,USA,US,us,https://flagcdn.com/w40/us.png
1D-25,Agno Pharma,Outsourcing,(+) taddol,detail.php?exid=CF25192656&sidSuffix=s20260203221243470&previous=,USA,US,us,https://flagcdn.com/w40/us.png
1D-25,Agno Pharma,Outsourcing,(+) taddol,detail.php?exid=CF25192656&sidSuffix=s20260203221243470&previous=,USA,US,us,https://flagcdn.com/w40/us.png
1C-01,AI CORPORATION,Outsourcing,not provided,detail.php?exid=CF25180023&sidSuffix=s20260203221243470&previous=,NA,US,us,NA
3F-07,AiFChem an XtalPi Company,Bio Pharma,not provided,detail.php?exid=CF26195410&sidSuffix=s20260203221243470&previous=,NA,CN,cn,NA
3D-22,"Ajinomoto Co., Inc.",Bio Pharma,not provided,detail.php?exid=CF20162676&sidSuffix=s20260203221243470&previous=,JAPAN,JP,jp,https://flagcdn.com/w40/jp.png
3D-22,"Ajinomoto Co., Inc.",Bio Pharma,not provided,detail.php?exid=CF20162676&sidSuffix=s20260203221243470&previous=,JAPAN,JP,jp,https://flagcdn.com/w40/jp.png
3D-22,"Ajinomoto Co., Inc.",Bio Pharma,not provided,detail.php?exid=CF20162676&sidSuffix=s20260203221243470&previous=,JAPAN,JP,jp,https://flagcdn.com/w40/jp.png
3D-35,Alembic Pharmaceuticals Limited,Ingredients,not provided,detail.php?exid=CF25104372&sidSuffix=s20260203221243470&previous=,NA,IN,in,NA
1B-34,Alivus Lifesciences Limited,Outsourcing,not provided,detail.php?exid=CF23104018&sidSuffix=s20260203221243470&previous=,NA,IN,in,NA
1G-34,ALKALI METALS LTD,Ingredients,not provided,detail.php?exid=CF23157263&sidSuffix=s20260203221243470&previous=,INDIA,IN,in,https://flagcdn.com/w40/in.png
1G-34,ALKALI METALS LTD,Ingredients,not provided,detail.php?exid=CF23157263&sidSuffix=s20260203221243470&previous=,INDIA,IN,in,https://flagcdn.com/w40/in.png
2C-30,Alkem Activa,Ingredients,3 cef novo 1.5 injection,detail.php?exid=CF24135042&sidSuffix=s20260203221243470&previous=,INDIA,IN,in,https://flagcdn.com/w40/in.png
2C-30,Alkem Activa,Ingredients,3 cef novo 1.5 injection,detail.php?exid=CF24135042&sidSuffix=s20260203221243470&previous=,INDIA,IN,in,https://flagcdn.com/w40/in.png
2C-30,Alkem Activa,Ingredients,3 cef novo 1.5 injection,detail.php?exid=CF24135042&sidSuffix=s20260203221243470&previous=,INDIA,IN,in,https://flagcdn.com/w40/in.png
2C-30,Alkem Activa,Ingredients,3 cef novo 375 injection,detail.php?exid=CF24135042&sidSuffix=s20260203221243470&previous=,INDIA,IN,in,https://flagcdn.com/w40/in.png
